County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Hyde,"5,391",455,0.084,92,93,100,42,76,1,47,4
Iredell,"157,013","4,711",0.03,741,486,194,535,983,0,"1,772",0
Jackson,"37,990","4,898",0.129,"1,065","1,010","1,115",41,269,3,"1,395",0
Johnston,"168,217","20,903",0.124,535,459,71,"19,379",183,49,227,0
Jones,"10,150","1,001",0.099,311,106,328,0,159,0,97,0
Lee,"58,563","6,530",0.112,"1,922",975,"1,100",193,"1,280",16,537,507
Lenoir,"57,221","2,067",0.036,358,358,358,47,581,10,270,85
Lincoln,"75,702","3,480",0.046,679,604,440,"1,179",300,63,215,0
Macon,"34,494","6,655",0.193,290,"1,081","1,015",242,666,166,"2,450",745
Madison,"20,846","5,935",0.285,"1,612","1,187","1,336",32,"1,640",18,43,67
Martin,"23,855","1,128",0.047,135,344,233,9,39,1,199,168
McDowell,"44,742","1,185",0.026,266,200,77,1,3,1,411,226
Mecklenburg,"894,290","12,858",0.014,"1,097","1,316","1,263",941,"1,871",99,"6,195",76
Mitchell,"15,976","7,536",0.472,"2,254","2,898","1,860",389,0,53,46,36
Montgomery,"27,983","4,493",0.161,"1,053",882,791,120,716,2,929,0
Moore,"86,945","2,857",0.033,574,943,262,51,561,0,466,0
Nash,"95,804","6,788",0.071,"1,630","1,314","1,568",27,"1,022",6,402,819
New Hanover,"194,054","9,945",0.051,"6,145",938,"1,620","1,077",0,9,156,0
Northampton,"21,018",726,0.035,218,189,64,34,16,1,201,3
Onslow,"179,455","5,269",0.029,"1,325","1,328","1,328",881,143,26,238,0
Orange,"132,272","4,202",0.032,305,"1,053",866,14,"1,387",0,371,206
Pamlico,"12,838","2,536",0.198,520,421,528,233,465,1,368,0
Pasquotank,"41,845","10,194",0.244,"2,590","3,484","1,836",232,"1,794",5,253,0
Pender,"53,095","1,117",0.021,320,186,277,60,190,16,68,0
Perquimans,"12,980","3,142",0.242,485,"1,639",341,101,429,1,146,0
Person,"38,272",335,0.009,106,37,66,20,25,8,49,24
Pitt,"158,541","9,273",0.058,"1,462","2,307","1,002",195,"1,019",38,932,"2,318"
Polk,"19,355",554,0.029,194,103,76,14,47,5,98,17
Randolph,"142,467","16,103",0.113,"6,124","4,826","2,141",297,"1,961",95,568,91
Richmond,"46,847","2,120",0.045,317,571,343,27,622,1,239,0
Robeson,"131,080","6,989",0.053,"1,549","1,217","1,177",831,852,48,"1,315",0
Rockingham,"91,878","17,665",0.192,"2,866","2,433","1,663",446,"1,234",58,286,"8,679"
Rowan,"140,495","5,054",0.036,"1,164",830,372,639,"1,269",88,647,45
Rutherford,"63,821","6,807",0.107,"1,400","1,030","2,396",540,73,3,"1,337",28
Sampson,"65,406","15,112",0.231,"2,629","3,005","2,840",867,541,8,"1,258","3,964"
Scotland,"36,926","5,010",0.136,111,715,63,56,"2,102",11,203,"1,749"
Stanly,"60,079","1,999",0.033,798,481,381,61,142,4,70,62
Stokes,"46,792","2,660",0.057,642,465,642,1,493,0,355,62
Surry,"73,881","5,016",0.068,"1,207",998,787,37,952,4,"1,023",8
Swain,"13,851","15,088",1.089,"2,279","7,609",718,151,82,6,404,"3,839"
Transylvania,"31,091","3,415",0.11,"2,326",238,41,43,440,4,147,176
Tyrrell,"4,251",315,0.074,65,69,75,21,50,0,30,5
Union,"196,322","2,766",0.014,259,733,259,725,661,16,113,0
Vance,"43,614","8,419",0.193,"2,147","1,296","1,751",215,"2,123",52,835,0
Wake,"892,409","13,978",0.016,"2,435","3,874","1,155",229,"3,785",9,"2,491",0
Warren,"19,932","3,127",0.157,727,937,305,82,639,9,428,0
Washington,"13,000",909,0.07,166,277,203,7,16,1,148,91
Watauga,"45,377","1,956",0.043,545,813,316,86,44,14,138,0
Wayne,"116,554","1,573",0.013,453,82,312,27,453,2,244,0
Wilkes,"67,519","4,982",0.074,967,528,"1,098",13,"1,751",9,531,85
Wilson,"80,005","2,855",0.036,736,359,643,214,508,7,351,37
Yadkin,"37,996","2,788",0.073,677,531,444,145,243,28,686,34
Yancey,"18,551","2,712",0.146,504,505,402,260,601,6,434,0
