County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
New Hanover,"203,439","11,465",0.056,"7,496","1,072",807,"1,889",0,9,192,0
Northampton,"22,111",939,0.042,286,341,49,37,28,0,198,0
Onslow,"185,304",957,0.005,304,12,243,64,201,72,61,0
Orange,"134,325","4,380",0.033,306,980,906,11,"1,407",0,573,197
Pamlico,"13,136","1,631",0.124,465,328,139,189,176,1,326,7
Pasquotank,"40,605","9,708",0.239,"2,303","3,351","1,620",90,"2,019",3,322,0
Pender,"52,504",593,0.011,273,101,177,17,0,3,21,1
Perquimans,"13,486","3,160",0.234,427,"1,703",328,136,451,0,115,0
Person,"39,585",332,0.008,0,163,19,19,14,7,110,0
Pitt,"169,378","6,471",0.038,631,"1,845",927,251,528,1,996,"1,292"
Polk,"20,588",326,0.016,166,59,23,6,1,4,56,11
Randolph,"142,127","11,309",0.08,"3,605","2,957",650,144,900,15,930,"2,108"
Richmond,"46,600","1,991",0.043,383,682,280,56,429,0,161,0
Robeson,"134,502","11,361",0.084,"3,664","1,766","2,616","1,136",812,54,"1,313",0
Rockingham,"93,764","20,079",0.214,"3,258","2,972","1,843",652,"1,198",82,337,"9,737"
Rowan,"138,651","18,282",0.132,"4,387","4,697","1,751","1,650","3,533",7,"2,097",160
Rutherford,"68,006","6,320",0.093,"1,148","1,155","1,929",593,79,8,"1,378",30
Sampson,"63,481","10,499",0.165,"1,758","2,147","1,954",557,536,4,"1,058","2,485"
Scotland,"36,098","6,273",0.174,129,750,118,123,228,5,158,"4,762"
Stanly,"60,714",0,0,0,0,0,0,0,0,0,0
Stokes,"47,478","2,644",0.056,662,415,631,1,528,0,407,0
Surry,"73,791","3,866",0.052,"1,014",809,330,48,692,0,960,13
Swain,"14,020","12,747",0.909,"2,170","6,140","1,206",56,110,8,348,"2,709"
Transylvania,"33,189","4,203",0.127,"2,180",443,346,34,597,0,216,387
Tyrrell,"4,390",335,0.076,103,81,88,26,3,0,34,0
Union,"202,592","2,871",0.014,328,761,328,652,643,21,138,0
Vance,"45,477","5,879",0.129,"1,546","1,108",574,119,"1,397",22,"1,113",0
Wake,"907,314","13,961",0.015,"1,499","4,203",684,406,"4,152",4,"3,013",0
Warren,"21,031",801,0.038,27,185,67,4,398,0,94,26
Washington,"13,224","1,618",0.122,405,384,199,1,28,1,180,420
Watauga,"51,326","2,507",0.049,606,"1,106",456,40,68,15,216,0
Wayne,"122,893","1,470",0.012,440,45,368,24,440,4,149,0
Wilkes,"69,419","7,133",0.103,"1,322","1,641","1,540",47,"2,022",3,477,81
Wilson,"81,643","3,602",0.044,885,349,658,459,377,7,600,267
Yadkin,"38,451","1,721",0.045,403,382,206,38,243,12,424,13
Yancey,"17,802","1,671",0.094,339,243,253,260,339,4,233,0
