County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Pitt,"175,842","10,347",0.059,"1,071",892,"5,962",61,"1,366",1,312,660
Polk,"20,366","1,283",0.063,532,168,98,16,182,3,146,124
Randolph,"142,799","11,122",0.078,"4,137","4,259",613,195,"1,461",8,172,108
Richmond,"45,437","2,836",0.062,"1,008",617,125,47,261,0,395,335
Robeson,"134,197","14,693",0.109,"4,821","2,325","4,821",540,216,14,427,"1,112"
Rockingham,"91,758","15,428",0.168,"3,886","2,178",893,739,968,19,294,"6,036"
Rowan,"139,142","10,911",0.078,"4,362","1,472","3,342",14,766,2,529,32
Rutherford,"66,390","8,489",0.128,"1,803","1,064","2,993",355,455,7,"1,759",14
Sampson,"63,724","6,061",0.095,802,"1,960",287,284,"2,151",7,567,0
Scotland,"35,509","2,765",0.078,697,263,268,163,471,9,254,0
Stanly,"60,714","1,433",0.024,359,98,102,242,89,8,271,164
Stokes,"46,351","5,387",0.116,"1,457",994,"1,790",8,362,0,738,22
Surry,"72,743","14,658",0.202,"5,003","2,199","4,174",23,"1,027",0,"1,163","1,025"
Swain,"14,434","2,823",0.196,"1,056","1,189",274,5,31,1,217,13
Transylvania,"33,211","1,298",0.039,722,134,243,0,76,0,101,0
Tyrrell,"4,070","17,860",4.388,"16,000",258,"1,234",8,200,0,30,104
Union,"222,742","4,371",0.02,584,"1,279",584,798,338,0,558,0
Vance,"44,568","1,980",0.044,647,347,289,20,248,0,270,0
Wake,"1,024,198","12,805",0.013,"2,063","6,673",170,352,"2,740",1,806,0
Warren,"20,155",460,0.023,156,87,47,0,78,1,66,0
Washington,"12,385",882,0.071,208,190,65,14,76,3,61,197
Watauga,"52,906","5,905",0.112,"3,697","1,111",363,66,0,14,311,167
Wayne,"124,132","1,494",0.012,435,185,404,122,185,2,161,0
Wilkes,"68,502","3,002",0.044,675,978,460,284,94,7,429,0
Wilson,"81,714","17,124",0.21,"2,675","1,482","1,986","2,285",435,54,583,"6,950"
Yadkin,"37,585","6,770",0.18,"2,318","1,517","1,755",9,195,1,562,61
Yancey,"17,587","3,545",0.202,655,400,484,"1,005",249,4,24,302
