County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Pasquotank,"39,458","9,950",0.252,"2,913","3,106","1,376",200,"2,126",0,229,0
Pender,"5,558","1,439",0.259,460,352,525,12,0,0,31,59
Perquimans,"13,771","3,515",0.255,527,"1,995",219,82,567,0,125,0
Person,"39,192","1,419",0.036,436,324,436,37,32,4,150,0
Pitt,"173,879","6,364",0.037,738,"1,661",892,319,650,3,"1,106",995
Polk,"20,603",583,0.028,104,131,95,31,95,3,95,29
Randolph,"142,561","10,930",0.077,3042,2304,979,350,668,25,526,3036
Richmond,"46,041","1,582",0.034,372,574,220,32,259,1,124,0
Robeson,"134,010","22,363",0.167,"7,669","2,324","5,934","1,200","1,203",33,"1,302","2,698"
Rockingham,"92,254","12,446",0.135,"2,060",986,748,368,880,23,259,"7,122"
Rowan,"138,666","16,596",0.12,"6,089","2,912","4,857",308,"1,382",0,921,127
Rutherford,"67,807","6,747",0.1,"1,322",950,"2,436",436,400,7,"1,165",31
Sampson,"64,313","12,538",0.195,"2,024","2,702","2,292",653,519,7,"1,025","3,316"
Scotland,"36,223","1,564",0.043,90,"1,340",18,0,30,2,84,0
Stanly,"60,612",314,0.005,72,69,42,74,16,4,37,0
Stokes,"46,731","4,434",0.095,"1,208",883,"1,458",8,83,0,785,9
Surry,"73,344","3,352",0.046,"1,014",528,"1,006",6,179,3,415,201
Swain,"14,590","12,233",0.838,"1,996","2,850",547,84,32,4,"1,161","5,559"
Transylvania,"33,220","2,653",0.08,"1,632",156,140,0,348,6,96,275
Tyrrell,"4,143","15,844",3.824,"15,111",120,278,12,50,1,196,76
Union,"211,539","3,322",0.016,396,"1,257",396,765,421,0,87,0
Vance,"45,056",257,0.006,67,13,8,1,9,0,159,0
Wake,"964,616","11,722",0.012,827,"6,783",338,564,"2,209",0,"1,001",0
Warren,"20,453",0,0,0,0,0,0,0,0,0,0
Washington,"12,826","2,352",0.183,740,539,251,8,40,0,457,317
Watauga,"52,682","1,834",0.035,621,661,385,26,0,9,132,0
Wayne,"125,101","1,300",0.01,370,44,370,0,370,5,141,0
Wilkes,"69,754","6,138",0.088,"1,304","2,059","1,308",202,962,0,303,0
Wilson,"81,397","6,175",0.076,"1,464",925,895,611,362,5,312,"1,601"
Yadkin,"38,131","1,232",0.032,313,340,260,2,67,0,249,1
Yancey,"17,921","2,479",0.138,414,392,581,465,411,13,203,0
